Entry	Entry name	Status	Protein names	Gene names	Organism	Taxonomic lineage (ALL)	Taxonomic lineage IDs	Taxonomic lineage (CLASS)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SUBPHYLUM)	Taxonomic lineage (SUBCLASS)	Taxonomic lineage (KINGDOM)	Taxonomic lineage (SUPERPHYLUM)	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (SUPERCLASS)	Taxonomic lineage (SUBKINGDOM)	Proteomes
Q2QLF8	CTTB2_CALJA	reviewed	Cortactin-binding protein 2 (CortBP2)	CTTNBP2 CORTBP2	Callithrix jacchus (White-tufted-ear marmoset)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Platyrrhini (New World monkeys), Cebidae, Callitrichinae (marmosets and tamarins), Callithrix, Callithrix, Callithrix jacchus (White-tufted-ear marmoset)	9483	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000008225: Unplaced
Q9MZ15	VDAC2_PIG	reviewed	Voltage-dependent anion-selective channel protein 2 (VDAC-2)	VDAC2	Sus scrofa (Pig)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Suina, Suidae (pigs), Sus, Sus scrofa (Pig)	9823	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000008227: Unplaced, UP000314985: Unplaced
E2BJ30	ORCO_HARSA	reviewed	Odorant receptor coreceptor	Orco EAI_09968	Harpegnathos saltator (Jerdon's jumping ant)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Hymenoptera, Apocrita (wasps, ants, and bees), Aculeata, Formicoidea, Formicidae, Ponerinae, Ponerini, Harpegnathos, Harpegnathos saltator (Jerdon's jumping ant)	610380	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000008237: Unassembled WGS sequence
Q17297	UN119_CAEBR	reviewed	Protein unc-119 (Uncoordinated protein 119)	unc-119 CBG18291	Caenorhabditis briggsae	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditina, Rhabditomorpha, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis briggsae	6238	Chromadorea	Nematoda (roundworms)			Metazoa		Eukaryota			UP000008549: Chromosome III
H3BCW1	ADPRS_LATCH	reviewed	ADP-ribosylhydrolase ARH3 (ADP-ribose glycohydrolase ARH3) (LchARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-)	adprs adprhl2 arh3	Latimeria chalumnae (Coelacanth)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Coelacanthimorpha, Coelacanthiformes, Coelacanthidae (coelacanths), Latimeria, Latimeria chalumnae (Coelacanth)	7897		Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000008672: Unassembled WGS sequence
B4GIU9	BOP1_DROPE	reviewed	Ribosome biogenesis protein BOP1 homolog	GL17224	Drosophila persimilis (Fruit fly)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Drosophilini, Drosophila (fruit flies), Sophophora, obscura group, pseudoobscura subgroup, Drosophila persimilis (Fruit fly)	7234	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000008744: Unassembled WGS sequence
B4M7J1	ATBP_DROVI	reviewed	AT-rich binding protein	ATbp GJ16440	Drosophila virilis (Fruit fly)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Drosophilini, Drosophila (fruit flies), Drosophila, virilis group, Drosophila virilis (Fruit fly)	7244	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000008792: Unassembled WGS sequence
Q1HQK8	VATF_AEDAE	reviewed	V-type proton ATPase subunit F (V-ATPase subunit F) (V-ATPase 14 kDa subunit) (Vacuolar proton pump subunit F)	AAEL002464	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Nematocera, Culicomorpha, Culicoidea, Culicidae (mosquitos), Culicinae, Aedini, Aedes, Stegomyia, Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000008820: Chromosome 3
Q26537	14332_SCHMA	reviewed	14-3-3 protein homolog 2 (14-3-3-2) (Fragment)		Schistosoma mansoni (Blood fluke)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Platyhelminthes, Trematoda, Digenea (flukes), Strigeidida, Schistosomatoidea, Schistosomatidae (blood flukes), Schistosoma, Schistosoma mansoni (Blood fluke)	6183	Trematoda	Platyhelminthes		Digenea (flukes)	Metazoa		Eukaryota			UP000008854: Unassembled WGS sequence
D2I4M3	BRAT1_AILME	reviewed	BRCA1-associated ATM activator 1 (BRCA1-associated protein required for ATM activation protein 1)	BRAT1 BAAT1 PANDA_020555	Ailuropoda melanoleuca (Giant panda)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Carnivora, Caniformia, Ursidae (bears), Ailuropoda, Ailuropoda melanoleuca (Giant panda)	9646	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000008912: Unassembled WGS sequence
B3SAE4	DNPH1_TRIAD	reviewed	Putative 2'-deoxynucleoside 5'-phosphate N-hydrolase 1 (EC 3.2.2.-)	TRIADDRAFT_32238	Trichoplax adhaerens (Trichoplax reptans)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Placozoa (placozoans), Trichoplacidae, Trichoplax, Trichoplax adhaerens (Trichoplax reptans)	10228		Placozoa (placozoans)			Metazoa		Eukaryota			UP000009022: Unassembled WGS sequence
E0VSP9	GATA_PEDHC	reviewed	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7)	gatA PHUM422010	Pediculus humanus subsp. corporis (Body louse)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Paraneoptera, Psocodea, Phthiraptera (lice), Anoplura (sucking lice), Pediculidae (body lice), Pediculus, Pediculus humanus (human louse), Pediculus humanus subsp. corporis (Body louse)	121224	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000009046: Unplaced
Q58DU5	PSA3_BOVIN	reviewed	Proteasome subunit alpha type-3	PSMA3	Bos taurus (Bovine)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Ruminantia, Pecora, Bovidae, Bovinae, Bos (oxen, cattle), Bos taurus (Bovine)	9913	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000009136: Chromosome 10
B4KPU0	PTK7_DROMO	reviewed	Tyrosine-protein kinase-like otk (Tyrosine-protein kinase-like 7 homolog)	otk GI18649	Drosophila mojavensis (Fruit fly)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Drosophilini, Drosophila (fruit flies), Drosophila, repleta group, mulleri subgroup, mojavensis species complex, Drosophila mojavensis (Fruit fly)	7230	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000009192: Unassembled WGS sequence
P0DTG8	APOC1_PTEAL	reviewed	Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I]	APOC1	Pteropus alecto (Black flying fox)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Chiroptera, Megachiroptera, Pteropodidae (flying foxes), Pteropodinae, Pteropus, Pteropus alecto (Black flying fox)	9402	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000010552: Unassembled WGS sequence
L5MI18	L5MI18_MYODS	unreviewed	Neuronal calcium sensor 1	MDA_GLEAN10011227	Myotis davidii (David's myotis)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Chiroptera, Microchiroptera, Vespertilionidae (common bats), Myotis, Myotis davidii (David's myotis)	225400	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000010556: Unassembled WGS sequence
L8HT15	L8HT15_9CETA	unreviewed	Nociceptin receptor (Kappa-type 3 opioid receptor) (Orphanin FQ receptor)	M91_13208	Bos mutus (wild yak)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Ruminantia, Pecora, Bovidae, Bovinae, Bos (oxen, cattle), Bos mutus (wild yak)	72004	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000011080: Unassembled WGS sequence
L9JDJ8	L9JDJ8_TUPCH	unreviewed	Uncharacterized protein	TREES_T100021830	Tupaia chinensis (Chinese tree shrew)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Scandentia (tree shrews), Tupaiidae (tree shrews), Tupaia, Tupaia chinensis (Chinese tree shrew)	246437	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000011518: Unassembled WGS sequence
Q9MYZ3	TFR1_FELCA	reviewed	Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (CD antigen CD71)	TFRC	Felis catus (Cat) (Felis silvestris catus)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Carnivora, Feliformia, Felidae (cat family), Felinae, Felis, Felis catus (Cat) (Felis silvestris catus)	9685	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000011712: Unplaced
T1IU40	T1IU40_STRMM	unreviewed	Calponin		Strigamia maritima (European centipede) (Geophilus maritimus)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Myriapoda, Chilopoda (centipedes), Pleurostigmophora, Epimorpha, Geophilomorpha, Linotaeniidae, Strigamia, Strigamia maritima (European centipede) (Geophilus maritimus)	126957	Chilopoda (centipedes)	Arthropoda	Myriapoda	Pleurostigmophora	Metazoa		Eukaryota			UP000014500: Unassembled WGS sequence
R7VAY3	R7VAY3_CAPTE	unreviewed	Guanylate cyclase (EC 4.6.1.2)	CAPTEDRAFT_103534	Capitella teleta (Polychaete worm)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Annelida, Polychaeta (polychaetes), Sedentaria, Scolecida, Capitellidae, Capitella, Capitella teleta (Polychaete worm)	283909	Polychaeta (polychaetes)	Annelida		Sedentaria	Metazoa		Eukaryota			UP000014760: Unassembled WGS sequence
Q01622	HLOX2_HELRO	reviewed	Homeobox protein LOX2 (Fragment)	LOX2	Helobdella robusta (Californian leech)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Annelida, Clitellata, Hirudinea (leeches), Rhynchobdellida, Glossiphoniidae, Helobdella, Helobdella robusta (Californian leech)	6412	Clitellata	Annelida		Hirudinea (leeches)	Metazoa		Eukaryota			UP000015101: Unassembled WGS sequence
O01671	SXL_MEGSC	reviewed	Sex-lethal homolog	SXL SXL2	Megaselia scalaris (Humpbacked fly) (Phora scalaris)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Aschiza, Platypezoidea, Phoridae (humpbacked flies), Metopininae, Megaseliini, Megaselia, Megaselia scalaris (Humpbacked fly) (Phora scalaris)	36166	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000015102: Unassembled WGS sequence
P85823	ALL2_RHOPR	reviewed	Allatostatin-2 (Rhopr-AST-2)		Rhodnius prolixus (Triatomid bug)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Paraneoptera, Hemiptera, Prosorrhyncha (bugs), Heteroptera (true bugs), Euheteroptera, Neoheteroptera, Panheteroptera, Cimicomorpha, Reduvioidea, Reduviidae (assassin bugs), Triatominae (kissing bugs), Rhodnius, Rhodnius prolixus (Triatomid bug)	13249	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000015103: Unassembled WGS sequence
T1KB69	T1KB69_TETUR	unreviewed	Elongation factor 1-alpha	107362329	Tetranychus urticae (Two-spotted spider mite)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Acariformes, Trombidiformes, Prostigmata, Eleutherengona, Raphignathae, Tetranychoidea, Tetranychidae (spider mites), Tetranychus, Tetranychus urticae (Two-spotted spider mite)	32264	Arachnida	Arthropoda	Chelicerata	Acari	Metazoa		Eukaryota			UP000015104: Unassembled WGS sequence
A0A803WDU8	A0A803WDU8_FICAL	unreviewed	Coagulation factor XIII A chain	F13A1	Ficedula albicollis (Collared flycatcher) (Muscicapa albicollis)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Passeriformes, Muscicapidae (Old World flycatchers), Ficedula, Ficedula albicollis (Collared flycatcher) (Muscicapa albicollis)	59894	Aves	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000016665: Chromosome 2
P01988	HBA_ANAPP	reviewed	Hemoglobin subunit alpha-A (Alpha-A-globin) (Hemoglobin alpha-A chain)	HBAA	Anas platyrhynchos platyrhynchos (Northern mallard)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Galloanserae, Anseriformes (ducks, geese and swans), Anatidae (waterfowl), Anatinae, Anas (ducks), Anas platyrhynchos (Mallard) (Anas boschas), Anas platyrhynchos platyrhynchos (Northern mallard)	8840	Aves	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000016666: Chromosome 15
B5BV14	B5BV14_ECHMU	unreviewed	Major egg antigen p40 (Putative hsp20)	onco2 EmuJ_000212700	Echinococcus multilocularis (Fox tapeworm)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Platyhelminthes, Cestoda, Eucestoda, Cyclophyllidea, Taeniidae, Echinococcus, Echinococcus multilocularis (Fox tapeworm)	6211	Cestoda	Platyhelminthes		Eucestoda	Metazoa		Eukaryota			UP000017246: Unassembled WGS sequence
W5LN89	W5LN89_ASTMX	unreviewed	CRC domain-containing protein		Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Characiphysae, Characiformes, Characoidei, Characidae (characins), Stethaprioninae, Astyanax, Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	7994	Actinopteri	Chordata	Craniata	Neopterygii	Metazoa		Eukaryota	Actinopterygii		UP000018467: Unassembled WGS sequence
P29667	CYB_LEPOC	reviewed	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Lepisosteus oculatus (Spotted gar)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Holostei (bowfins and gars), Semionotiformes, Lepisosteidae (gars), Lepisosteus, Lepisosteus oculatus (Spotted gar)	7918	Actinopteri	Chordata	Craniata	Neopterygii	Metazoa		Eukaryota	Actinopterygii		UP000018468: Unassembled WGS sequence
V8NSM6	V8NSM6_OPHHA	unreviewed	Sulfotransferase (EC 2.8.2.-) (Fragment)	HS3ST3A1 L345_04737 L345_09540	Ophiophagus hannah (King cobra) (Naja hannah)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Lepidosauria (lepidosaurs), Squamata (squamates), Bifurcata (split-tongued squamates), Unidentata, Episquamata, Toxicofera, Serpentes (snakes), Colubroidea, Elapidae, Elapinae, Ophiophagus, Ophiophagus hannah (King cobra) (Naja hannah)	8665	Lepidosauria (lepidosaurs)	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000018936: Unassembled WGS sequence
W6V0A7	W6V0A7_ECHGR	unreviewed	Calcium-transporting ATPase (EC 7.2.2.10)	EGR_00836	Echinococcus granulosus (Hydatid tapeworm)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Platyhelminthes, Cestoda, Eucestoda, Cyclophyllidea, Taeniidae, Echinococcus, Echinococcus granulosus group, Echinococcus granulosus (Hydatid tapeworm)	6210	Cestoda	Platyhelminthes		Eucestoda	Metazoa		Eukaryota			UP000019149: Unassembled WGS sequence
P30162	ACT1_ONCVO	reviewed	Actin-1	act-1a	Onchocerca volvulus	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Spirurina, Spiruromorpha, Filarioidea, Onchocercidae, Onchocerca, Onchocerca volvulus	6282	Chromadorea	Nematoda (roundworms)			Metazoa		Eukaryota			UP000024404: Unassembled WGS sequence
A0A016X1D7	A0A016X1D7_9BILA	unreviewed	Reverse transcriptase domain-containing protein	Acey_s0441.g1518 Acey_s0079.g1298 Acey_s0110.g169 Acey_s0260.g533 Acey_s0294.g1638 Acey_s0604.g564 Y032_0079g1298 Y032_0110g169 Y032_0260g533 Y032_0294g1638 Y032_0441g1518 Y032_0604g564	Ancylostoma ceylanicum	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Strongylida, Ancylostomatoidea, Ancylostomatidae, Ancylostomatinae, Ancylostoma, Ancylostoma ceylanicum	53326	Chromadorea	Nematoda (roundworms)			Metazoa		Eukaryota			UP000024635: Unassembled WGS sequence
A0A067R2V3	A0A067R2V3_ZOONE	unreviewed	Ribosomal protein S6 kinase alpha-5	L798_12589	Zootermopsis nevadensis (Dampwood termite)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Polyneoptera, Dictyoptera, Blattodea (cockroaches), Blattoidea, Termitoidae (termites), Termopsidae (damp wood termites), Termopsinae, Termopsini, Zootermopsis, Zootermopsis nevadensis (Dampwood termite)	136037	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000027135: Unassembled WGS sequence
A0A096M764	A0A096M764_POEFO	unreviewed	E3 ubiquitin/ISG15 ligase TRIM25-like		Poecilia formosa (Amazon molly) (Limia formosa)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Ovalentaria, Atherinomorphae, Cyprinodontiformes (killifishes and others), Cyprinodontoidei, Poeciliidae (livebearers), Poeciliinae, Poecilia, Poecilia formosa (Amazon molly) (Limia formosa)	48698	Actinopteri	Chordata	Craniata	Neopterygii	Metazoa		Eukaryota	Actinopterygii		UP000028760: Unassembled WGS sequence
A0A096P2H4	APOC2_PAPAN	reviewed	Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II (ProapoC-II)]	APOC2	Papio anubis (Olive baboon)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Cercopithecinae, Papio (baboons), Papio anubis (Olive baboon)	9555	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000028761: Chromosome 20
P0DTU7	APOA1_FUKDA	reviewed	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I]	Apoa1	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Hystricomorpha, Bathyergidae (African mole-rats), Fukomys, Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	885580	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000028990: Unassembled WGS sequence
